no;kdprov;kdkab;nama_perusahaan;alamat;kdprovkab;lblkab;kawasan_fasih;nama_kawasan;kawasan
5590;65;02;MILAIYA JAYA INDONESIA;PROYEK KIPI EMCC 11;6502;[02] BULUNGAN;Kawasan Industri;KIPI;Kawasan Industri
5591;65;02;INDONESIA EMOBIL INDUSTRI;JL. POROS TIMUR, KELURAHAN TANAH KUNING, KECAMATAN TANJUNG PALAS TIMUR, KABUPATEN BULUNGAN, PROVINSI KALIMANTAN UTARA;6502;[02] BULUNGAN;Kawasan Industri;KIPI;Kawasan Industri
5592;65;02;GREEN AMMONIA INDONESIA;DESA TANAH KUNING;6502;[02] BULUNGAN;Kawasan Industri;KIPI;Kawasan Industri
5593;65;02;NICKEL INDUSTRI INDONESIA;TANAH KUNING;6502;[02] BULUNGAN;Kawasan Industri;KIPI;Kawasan Industri
5594;65;02;FIRST HYDROGENICS INDONESIA;JL. POROS TANAH KUNING, KELURAHAN TANAH KUNING, KECAMATAN TANJUNG PALAS TIMUR, KABUPATEN BULUNGAN;6502;[02] BULUNGAN;Kawasan Industri;KIPI;Kawasan Industri
5595;71;01;PT. KAWASAN INDUSTRI MONGONDOW (#197);HEAD OFFICE KOMPLEKS RUKO ITC MARINA PLAZA BLOK B NO.28-30 JL. PIERE TANDEAN - BOULEVARD KEL. WENANG UTARA, KEC. WENANG, 95111 MANADO;7101;[01] BOLAANG MONGONDOW;Kawasan Industri;KI Bolaang Mongondow (KIMONG);Kawasan Industri
5596;71;06;MINAHASA PERMAI RESORT DEVELOPMENT;GEDUNG MENARA DUTA LANTAI 3, JL. H.R. RASUNA SAID KAV. B-9 03/01;7106;[06] MINAHASA UTARA;Kawasan Ekonomi Khusus;Likupang;Kawasan Ekonomi Khusus
5597;71;06;PT DAYAMITRA TELEKOMUNIKASI;PULISAN JAGA 3;7106;[06] MINAHASA UTARA;Kawasan Ekonomi Khusus;Likupang;Kawasan Ekonomi Khusus
5598;71;06;PT GRAHA ARTHA PRAKARANA;PULISAN JAGA 3;7106;[06] MINAHASA UTARA;Kawasan Ekonomi Khusus;Likupang;Kawasan Ekonomi Khusus
5599;71;06;PT PANCA JASA LINGKUNGAN;LIKUPANG;7106;[06] MINAHASA UTARA;Kawasan Ekonomi Khusus;Likupang;Kawasan Ekonomi Khusus
5600;71;06;NOMA CONSORTIUM;DESA PULISAN JAGA 3;7106;[06] MINAHASA UTARA;Kawasan Ekonomi Khusus;Likupang;Kawasan Ekonomi Khusus
5601;71;06;YAYASAN INDONESIA BIRU;PULISAN JAGA 3;7106;[06] MINAHASA UTARA;Kawasan Ekonomi Khusus;Likupang;Kawasan Ekonomi Khusus
5602;71;06;PT ARTHA PRAKARANA;KEK LIKUPANG;7106;[06] MINAHASA UTARA;Kawasan Ekonomi Khusus;Likupang;Kawasan Ekonomi Khusus
5603;71;06;PT PRASETIA TIRTA NUSANTARA;KEK LIKUPANG;7106;[06] MINAHASA UTARA;Kawasan Ekonomi Khusus;Likupang;Kawasan Ekonomi Khusus
5604;71;06;PT WISATA MARINA NUSANTARA;KEK LIKUPANG;7106;[06] MINAHASA UTARA;Kawasan Ekonomi Khusus;Likupang;Kawasan Ekonomi Khusus
5605;71;06;TAMARIS HYDRO & ARUNA;KEK LIKUPANG;7106;[06] MINAHASA UTARA;Kawasan Ekonomi Khusus;Likupang;Kawasan Ekonomi Khusus
5606;71;72;ANPING SEAFOOD INDONESIA;JL. MANEMBO - NEMBO BAWAH 03/04;7172;[72] BITUNG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5607;71;72;ANUGRAH SEJATI BERSAMA;LINGKUNGAN II 004/002;7172;[72] BITUNG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5608;71;72;FUTAI SULAWESI UTARA;KAWASAN EKONOMI KHUSUS LINGKUNGAN III 001/000;7172;[72] BITUNG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5609;71;72;IKAN SAMUDERA INDONESIA;JALAN EFRAIM LENGKONG KOTA BITUNG 003/001;7172;[72] BITUNG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5610;71;72;INDO LAUTAN MAS;JL. TANJUNG MERAH, LINGKUNGAN III /;7172;[72] BITUNG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5611;71;72;MARINA NUSANTARA SELARAS;JL. TANJUNG MERAH 004;7172;[72] BITUNG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5612;71;72;MEMBANGUN SULUT MAJU PERSERODA DISINGKAT MESMA;JL. P. M. TANGKILISAN NO.25 LING. 3, BUMI BERINGIN, WENANG, KOTA MANADO, SULAWESI UTARA 000/003;7171;[71] MANADO;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5613;71;72;PALMA MARINAIO NUSANTARA;KAWASAN EKONOMI KHUSUS BITUNG, LINGK III NO.RT.03 KEL, TANJUNG MERAH, KEC. MATUARI, KOTA BITUNG, SULAWESI UTARA;7172;[72] BITUNG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5614;71;72;PT. KABASARAN TRITIS INTERNASIONAL;JL. SAGERAT TANJUNG MERAH NO.90 KECAMATAN MATUARI, KOTA BITUNG;7172;[72] BITUNG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5615;71;72;SAMUDRA ULAM NUSANTARA;JALAN PIERE TENDEAN 00/00;7172;[72] BITUNG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5616;71;72;TONG BITUNG JAYA;JL. ADE IRMA SURYANI 008/001;3507;[07] MALANG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5617;71;72;ULAM LAUT NUSANTARA;KELURAHAN SAGERAT LINGKUNGAN IV RT.003 KECAMATAN MATUARI, KOTA BITUNG 003/000;7172;[72] BITUNG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5618;71;72;TONG BITUNG JAYA;BITUNG;7172;[72] BITUNG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
5619;71;72;ULAM LAUT NUSANTARA;BITUNG;7172;[72] BITUNG;Kawasan Ekonomi Khusus;Bitung;Kawasan Ekonomi Khusus
